Name,Team,IP,Loc+ FA,Loc+ SI,Loc+ FC,Loc+ FS,Loc+ SL,Loc+ CU,Loc+ CH,Loc+ KC,Loc+ FO,Stuff+,Location+,Pitching+,NameASCII,PlayerId,MLBAMID
"Sean Burke","CHW",19,99.74448,,,,94.75590909090907,118.69142857142859,92.02631578947368,,,99.64588996763753,102.60550161812297,103.56653721682846,"Sean Burke",29878,680732
"Jason Adam","- - -",128,98.64608089260811,,,,93.18183631447071,,90.06175496688743,,,108.75530204893208,94.39012687676411,103.55477822588956,"Jason Adam",11861,592094
"JoJo Romero","STL",95.2,92.25159090909092,97.49944954128439,186.14000000000001,,93.76905396028637,,104.1484887459807,,,106.82012385122661,97.43368067890279,103.42222882491164,"JoJo Romero",19574,668941
"Hayden Wesneski","CHC",157,106.12216867469878,96.55914786967418,113.1569547325103,,102.2683977581204,,99.3769523809524,,,99.59085467071529,103.39834983422142,103.39284456934509,"Hayden Wesneski",27581,669713
"Lucas Sims","- - -",110.1,88.51404600811908,,91.27970802919708,87.78999999999999,94.99240710046328,83.4579446153846,,,,112.13362891875572,91.21364625873085,103.37883254198113,"Lucas Sims",13470,608371
"Hunter Gaddis","CLE",116.2,108.91810218978101,,63.74799999999999,,114.87192724300021,54.67777777777778,90.0788888888889,,,96.95021082548078,105.93197312021995,103.34100229225572,"Hunter Gaddis",25636,683769
"Manuel Rodríguez","TBR",37.2,82.99779411764703,95.4470588235294,,,101.45638297872343,,,,,107.41756666666669,95.80546666666667,103.33743333333334,"Manuel Rodriguez",20794,655889
"Génesis Cabrera","- - -",118.1,104.80386491557223,82.14781420765027,100.2656981664316,,,97.66142048780488,59.5493220338983,,,109.24167546890882,95.07978366699696,103.32720184573785,"Genesis Cabrera",17490,650893
"Dylan Covey","- - -",43,183.86999999999998,104.19867549668874,101.73756345177667,90.88947368421053,98.6296296296296,,66.93142857142857,,,102.21312478836519,101.18429250474064,103.29319056447241,"Dylan Covey",14825,592229
"Kris Bubic","KCR",46.1,109.14382445141065,108.65230769230767,77.75999999999999,,120.06539633763953,99.0122727272727,105.09394366197184,,,92.959747652414,111.29010063774432,103.17232510035811,"Kris Bubic",21455,663460
"Carlos Estévez","- - -",117.1,101.78371314741035,,,,95.22599274357565,72.16285714285713,103.45806451612904,,,104.91942550776454,100.14221624592736,103.16937899979884,"Carlos Estevez",14542,608032
"Jackson Stephens","ATL",15.1,117.49814814814816,114.1984375,118.71581395348836,,117.45947368421052,102.40008305647841,116.79454545454547,,,91.6875279582832,113.85989474528682,103.1415557160048,"Jackson Stephens",14420,623451
"Aaron Bummer","- - -",113.2,86.1586075949367,97.8072686230248,83.74581818181818,,95.17448208705765,36.439090909090915,89.70117647058824,,,113.97899156602281,94.12927713299513,103.13470406695932,"Aaron Bummer",16258,607481
"Michael Wacha","- - -",301,105.95194908512332,99.25343930635837,101.83632867132867,,84.69389121338915,96.22568927789936,109.23153894080997,,,99.36805666824895,103.56146896551441,103.06327270369381,"Michael Wacha",14078,608379
"Kutter Crawford","BOS",313,105.78268169014085,,102.17439464882943,97.27593052109181,99.03579999999998,,,107.54433628318586,,100.56370800995809,103.03565995186632,103.05926429607567,"Kutter Crawford",20531,676710
"John Schreiber","- - -",98.1,105.79683516483514,98.09731207289295,108.77677852348994,,108.15364963503647,,104.18377049180327,,,100.23875617275152,104.81959136064431,103.02131385154604,"John Schreiber",20020,670167
"Bryan Abreu","HOU",150.1,84.384555353902,,,,95.62510908132174,13.179999999999993,46.32857142857142,,,111.25866719684542,90.41364946729352,103.02103402511469,"Bryan Abreu",16609,650556
"Aaron Loup","LAA",48.2,73.73666666666668,93.15115044247786,108.08623655913976,,,114.02235294117648,97.5061224489796,,,111.22279904306227,97.59997607655502,102.98122009569384,"Aaron Loup",10343,571901
"Randy Rodríguez","SFG",52.1,94.61850961538461,85.3790625,,,95.19787241689127,,74.13673469387756,,,108.72818844944122,93.1748193611916,102.96965153296811,"Randy Rodriguez",23974,678495
"Keaton Winn","SFG",97.2,101.8711170212766,92.0887401574803,,95.62050595238095,100.5189928057554,,,,,104.06608986753234,97.14821050103974,102.95329964963395,"Keaton Winn",23499,676775
"Michael Grove","LAD",120,101.73210256410256,111.74251082251084,109.54429312678599,,112.20551588355536,,110.905,98.20679841897233,,94.59045276188623,108.21057426727188,102.9299650737334,"Michael Grove",23221,675627
"Zac Gallen","ARI",358,97.77380312386488,99.85520000000001,91.65589333333332,,107.47242524875153,,119.3486815920398,112.8873846153846,,95.13203196356972,104.7478237733671,102.92690147708697,"Zac Gallen",19291,668678
"Colin Poche","TBR",98,97.47118191161358,,,,102.67847082494973,,,,,100.66685855867668,99.22044752355615,102.89347559983615,"Colin Poche",19403,621363
"Janson Junk","- - -",15.1,100.90043165467625,120.276,,136.06,119.51350649350648,108.47055555555555,,,,95.20280701754386,109.79106792622581,102.86995591542961,"Janson Junk",23301,676083
"Clayton Kershaw","LAD",161.2,93.81003243243244,121.47142857142856,,70.23625000000001,95.04884363310097,98.7734971890273,77.01298136645963,,,107.07659251392958,94.80737898166628,102.86919578993383,"Clayton Kershaw",2036,477132
"Casey Mize","DET",102.1,108.22005788712013,111.51930555555553,,98.33913580246913,104.05144783442364,,,91.43358208955225,,99.03330993313764,104.25861822335247,102.83649364267416,"Casey Mize",20492,663554
